znamka,model,generacija,verzija,višina,širina,dolžina,teža
Peugeot,2008,2008 II,1.2 PureTech 130 Auto,153,177,430,1230

Peugeot,2008,2008,1.2 PureTech 130 Crossway,155.6,173.9,415.9,1235

Peugeot,2008,2008 II,1.2 PureTech 130,153,177,430,1167

Peugeot,2008,2008,1.2 PureTech 82 Access,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.2 PureTech 82 Active,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.2 PureTech 82 ETG5 Active,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.2 PureTech 82 Style,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.2 VTi 82 Access,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.2 VTi 82 Active,155.6,173.9,415.9,1120

