znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Volvo,120 Amazon,122,S,1965.0,Petrol,,1782.0,87.0,,,148.0,,,

Fiat,124,124,1200,1966.0,Petrol,,1197.0,60.0,,,140.0,,,

Fiat,124,124 Coupe I,1400 5-Speed,1966.0,Petrol,,1438.0,91.0,,,,,,

Fiat,124,124 Coupe I,1400,1966.0,Petrol,,1438.0,91.0,,,164.0,,,

Fiat,124,124 Coupe II,1600,1969.0,Petrol,,1608.0,112.0,,,184.0,,,

Fiat,124,124 Coupe III,1800,1972.0,Petrol,,1756.0,118.0,,,172.0,,,

Fiat,124,124,Special T,1973.0,Petrol,,1592.0,96.0,,,,,,

Fiat,124,124 Spider,Lusso 1.4T 140HP Auto,2017.0,Petrol,,1368.0,140.0,,7.6,214.0,240.0,153.0,6.6

Fiat,124,124 Spider,Lusso 1.4T 140HP,2016.0,Petrol,,1368.0,140.0,,7.5,215.0,240.0,148.0,6.4

Fiat,124,124 Sport Spider,1400,1966.0,Petrol,,1438.0,91.0,,,171.0,,,

Fiat,124,124 Sport Spider,1600,1969.0,Petrol,,1608.0,112.0,,,180.0,,,

Fiat,124,124 Sport Spider,1800,1972.0,Petrol,,1756.0,118.0,,,185.0,,,

Fiat,124,124 Sport Spider,2000,1981.0,Petrol,,1995.0,79.0,,,169.0,,,

Fiat,124,124 Sport Spider,2000i,1979.0,Petrol,,1995.0,101.0,,,172.0,,,

Fiat,124,124 Sport Spider,Abarth Rallye,1972.0,Petrol,,1756.0,130.0,,,190.0,,,

Ferrari,125,,S,1947.0,Petrol,,1497.0,118.0,,,210.0,,,

Fiat,126,,650cc,1978.0,Petrol,,652.0,24.0,,,105.0,41.0,,6.1

Fiat,128,,1100SL Coupe,1971.0,Petrol,,1116.0,65.0,,,150.0,,,

Fiat,128,,1300SL Coupe,1971.0,Petrol,,1290.0,76.0,,,160.0,,,

Fiat,128,,Berlinetta,1978.0,Petrol,,1290.0,74.0,,,,,,

Fiat,128,,CL Estate,1978.0,Petrol,,1290.0,61.0,,,,,,

Fiat,128,,CL,1978.0,Petrol,,1290.0,61.0,,,,,,

Fiat,128,,Estate,1969.0,Petrol,,1116.0,55.0,,,138.0,,,

Fiat,128,,Rally,1971.0,Petrol,,1290.0,68.0,,,150.0,,,

Fiat,128,,Saloon,1969.0,Petrol,,1116.0,56.0,,,140.0,,,

Fiat,130,130 Coupe,Automatic,1971.0,Petrol,,3235.0,167.0,,,192.0,,,

Fiat,130,130,Opera,1975.0,Petrol,,3235.0,167.0,,,,,,

Fiat,130,130,Saloon Automatic,1971.0,Petrol,,3235.0,167.0,,,185.0,,,

Fiat,130,130,Saloon,1969.0,Petrol,,2866.0,162.0,,,180.0,,,

Honda,1300 Coupe,,112hp,1970.0,Petrol,,1299.0,114.0,,,185.0,,,

Honda,1300 Coupe,,7 Custom Automatic,1970.0,Petrol,,1299.0,80.0,,,,,,

Honda,1300 Coupe,,7 Custom,1970.0,Petrol,,1299.0,95.0,,,,,,

Honda,1300 Coupe,,7 De Luxe Automatic,1970.0,Petrol,,1299.0,80.0,,,,,,

Honda,1300 Coupe,,7 De Luxe,1970.0,Petrol,,1299.0,95.0,,,175.0,,,

Honda,1300 Coupe,,9 De Luxe,1970.0,Petrol,,1299.0,110.0,,,185.0,,,

Honda,1300 Coupe,,94hp,1970.0,Petrol,,1299.0,95.0,,,175.0,,,

Honda,1300 Sedan,,77 Automatic,1969.0,Petrol,,1299.0,80.0,,,,,,

Honda,1300 Sedan,,77,1969.0,Petrol,,1299.0,95.0,,,170.0,,,

Seat,131,,2000,1977.0,Petrol,,1995.0,113.0,,,180.0,167.0,,

Seat,131,,Diesel,1977.0,Diesel,,2445.0,72.0,,,150.0,147.0,,

Fiat,132,132,1600 GLS,1974.0,Petrol,,1592.0,99.0,,,165.0,,,10.0

Fiat,132,132,1600,1973.0,Petrol,,1608.0,99.0,,,165.0,,,10.0

Fiat,132,132,1800 ES,1976.0,Petrol,,1756.0,113.0,,,170.0,,,9.4

Fiat,132,132,1800,1973.0,Petrol,,1756.0,106.0,,,170.0,,,9.4

Fiat,132,132 Facelift,2000 GLS Automatic,1977.0,Petrol,,1995.0,114.0,,,170.0,,,9.8

Fiat,132,132 Facelift,2000 GLS,1977.0,Petrol,,1995.0,114.0,,,170.0,,,9.8

Fiat,132,132 Facelift,Diesel 2000,1979.0,Diesel,,1995.0,61.0,,,135.0,,,8.5

Fiat,132,132 Facelift,Diesel 2500,1979.0,Diesel,,2445.0,73.0,,,145.0,,,8.9

Renault,14,,1.2 TL,1979.0,Petrol,,1218.0,59.0,,15.7,145.0,91.0,,7.4

Renault,14,,1.4 GTL,1979.0,Petrol,,1360.0,60.0,,15.6,148.0,102.0,,7.4

Renault,14,,1.4 LS/TS,1979.0,Petrol,,1360.0,70.0,,13.0,156.0,104.0,,7.8

Volvo,140 - 164,142,Grand Luxe Saloon Automatic,1972.0,Petrol,,1986.0,135.0,,,,,,

Volvo,140 - 164,142,Grand Luxe Saloon,1972.0,Petrol,,1986.0,135.0,,,175.0,,,

Volvo,140 - 164,142,S De Luxe Saloon,1972.0,Petrol,,1986.0,118.0,,,162.0,,,

Volvo,140 - 164,142,Saloon,1972.0,Petrol,,1986.0,89.0,,,148.0,,,

Honda,145,,Honda 145,1972.0,Petrol,,1433.0,80.0,,,,,,

Honda,145 Coupe,,Honda 145 Coupe,1972.0,Petrol,,1433.0,80.0,,,,,,

Honda,145 Coupe,,FI,1972.0,Petrol,,1433.0,90.0,,,,,,

Honda,145,,Custom,1972.0,Petrol,,1433.0,80.0,,,,,,

Alfa Romeo,147,,1.6 TS eco,2000.0,Petrol,,1598.0,105.0,,11.3,185.0,140.0,191.7,8.1

Alfa Romeo,147,,1.6 TS,2000.0,Petrol,,1598.0,120.0,,10.6,195.0,146.0,194.1,8.2

Alfa Romeo,147,,1.9 JTD 100HP,2004.0,Diesel,,1910.0,100.0,,12.1,183.0,200.0,155.0,5.8

Alfa Romeo,147,,1.9 JTD 115HP,2000.0,Diesel,,1910.0,115.0,,10.5,189.0,275.0,152.0,5.8

Alfa Romeo,147,,1.9 JTD 16v,2004.0,Diesel,,1910.0,150.0,,8.8,208.0,305.0,157.0,5.9

Alfa Romeo,147,,1.9 JTD 8v Mjet,2005.0,Diesel,,1910.0,120.0,,9.6,193.0,280.0,,5.8

Alfa Romeo,147,,1.9 JTD Ducati Corse 3 doors,2007.0,Diesel,,1910.0,170.0,,8.0,215.0,,157.0,5.9

Alfa Romeo,147,,1.9 JTD Ducati Corse 5 doors,2007.0,Diesel,,1910.0,170.0,,8.0,215.0,,157.0,5.9

Alfa Romeo,147,,1.9 JTDm 16v Q2,2007.0,Diesel,,1910.0,150.0,,8.8,208.0,305.0,157.0,5.9

Alfa Romeo,147,,2.0 TS,2000.0,Petrol,,1970.0,150.0,,9.3,208.0,181.0,210.9,8.9

